order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDK10992,2018-05-31,12:54:05,Breakfast,BK,"[('Salad', 8), ('Fries', 2)]",161.6,-37.8058765,144.9560741,0,8.053,13.8188123
ORDX04962,2018-08-28,15:56:37,Lunch,BK,"[('Chicken', 7), ('Burger', 6), ('Fries', 8)]",506.0,-37.812004,144.9636734,0,7.544,13.3889099
ORDK07237,2018-05-12,12:13:31,Lunch,BK,"[('Fries', 3), ('Chicken', 10)]",356.0,-37.8006798,144.9577628,0,8.272,16.5968531
ORDB01737,2018-01-24,08:40:33,Breakfast,TP,"[('Pancake', 7), ('Eggs', 5)]",279.75,-37.7930988,144.9758122,0,10.917,12.9721191
ORDC07570,2018-25-10,17:48:10,Dinner,NS,"[('Pasta', 7), ('Fish&Chips', 8), ('Shrimp', 3)]",634.5,-37.8204838,144.9661266,0,8.883,14.6620565
ORDZ08347,2018-07-09,14:15:12,Lunch,NS,"[('Steak', 1), ('Chicken', 10), ('Burger', 2), ('Salad', 3)]",478.6,-37.8066082,144.942918,0,9.252,14.9774254
ORDY00722,2018-10-13,17:27:53,Dinner,TP,"[('Salmon', 7), ('Shrimp', 10), ('Pasta', 2), ('Fish&Chips', 2)]",952.0,-37.8206387,144.9573861,0,10.246,13.6931456
ORDZ08655,2018-01-21,08:30:25,Breakfast,ns,"[('Pancake', 10), ('Cereal', 10), ('Coffee', 6), ('Eggs', 3)]",563.5,-37.8005161,144.9723404,0,6.327,13.3226775
ORDZ04380,2018-06-12,13:24:30,Lunch,NS,"[('Steak', 7), ('Salad', 5)]",401.0,-37.8031397,144.9476307,0,8.461,13.7136068
ORDA04333,2018-10-02,17:07:36,Dinner,bk,"[('Shrimp', 7), ('Pasta', 5), ('Salmon', 3), ('Fish&Chips', 7)]",883.5,-37.8118849,144.9853537,0,5.608,12.6966399
ORDX03780,2018-11-05,18:08:27,Dinner,BK,"[('Salmon', 9), ('Fish&Chips', 3), ('Shrimp', 3), ('Pasta', 5)]",773.5,-37.8225971,145.0031343,0,4.946,11.6501259
ORDC02271,2018-05-01,11:53:14,Breakfast,NS,"[('Cereal', 3), ('Chicken', 6), ('Coffee', 3)]",217.5,-37.8192241,144.9465921,0,9.644,14.8019095
ORDI00504,2018-10-08,17:17:44,Dinner,NS,"[('Fish&Chips', 10), ('Pasta', 6), ('Shrimp', 4), ('Salmon', 9)]",1100.0,37.8117249,144.9563218,0,8.117,14.3876391
ORDC07989,2018-03-18,10:32:06,Breakfast,NS,"[('Coffee', 7), ('Pancake', 7), ('Eggs', 10)]",442.25,37.8128384,144.9735607,0,7.605,14.5773941
ORDA08067,2018-07-19,14:35:29,Lunch,BK,"[('Steak', 1), ('Fries', 5), ('Salad', 3), ('Chicken', 4), ('Burger', 6)]",470.6,37.8107842,145.0163236,0,4.283,10.1486772
ORDJ01752,2018-07-14,14:25:21,Breakfast,TP,"[('Salad', 7), ('Steak', 6), ('Burger', 7)]",607.4,-37.8167697,145.0071835,0,11.428,16.0482068
ORDI06032,2018-08-09,15:16:03,Lunch,NS,"[('Fries', 5), ('Burger', 1), ('Salad', 7), ('Steak', 3), ('Chicken', 10)]",112.5,-37.8116657,144.9832726,0,8.211,13.4248897
ORDZ01373,2018-10-22,17:48:10,Dinner,NS,"[('Shrimp', 4), ('Salmon', 10), ('Pasta', 8), ('Fish&Chips', 5)]",1021.0,-37.8128879,144.9374815,0,9.899,15.8821186
ORDY06877,2018-23-10,17:48:10,Dinner,TP,"[('Shrimp', 8), ('Salmon', 9)]",801.0,-37.8072788,144.9486081,0,9.699,13.5899068
ORDJ02895,2018-01-31,09:00:50,Breakfast,ns,"[('Coffee', 2), ('Eggs', 4)]",103.0,-37.8050179,144.9678415,0,9.399,11.8599481
ORDC01218,2018-08-18,15:36:20,Lunch,NS,"[('Salad', 4), ('Chicken', 3), ('Burger', 1), ('Steak', 2), ('Fries', 4)]",577.0,-37.8119961,144.971192,0,7.472,14.9751501
ORDJ08506,2018-03-03,10:01:41,Breakfast,TP,"[('Coffee', 6), ('Eggs', 9), ('Pancake', 6), ('Cereal', 5)]",64.0,-37.8096649,144.9727582,0,9.052,13.2877189
ORDY04180,2018-06-23,13:44:47,Lunch,TP,"[('Fries', 3), ('Chicken', 5), ('Salad', 5), ('Steak', 3), ('Burger', 8)]",665.0,-37.8217461,144.9528802,0,8.389,13.3890543
ORDZ04323,2018-09-14,16:27:02,Dinner,NS,"[('Fish&Chips', 5), ('Shrimp', 2)]",283.0,-37.8172556,144.9645399,0,7.129,14.7717401
ORDY07528,2018-05-01,11:53:14,Breakfast,TP,"[('Coffee', 1), ('Eggs', 10), ('Pancake', 1), ('Cereal', 3)]",314.75,-37.8089549,144.9499068,0,10.184,11.7314394
ORDZ08564,2018-09-26,16:57:27,Dinner,NS,"[('Salmon', 8), ('Shrimp', 2), ('Fish&Chips', 7)]",681.0,-37.8234406,144.9783548,1,8.916,14.8136322
ORDI07825,2018-04-05,11:02:32,Breakfast,ns,"[('Eggs', 6), ('Pancake', 5)]",253.25,-37.8175489,144.9523246,0,9.085,14.2307976
ORDY10387,2018-04-07,11:12:40,Breakfast,TP,"[('Pancake', 2), ('Coffee', 9), ('Eggs', 8), ('Cereal', 3)]",355.0,-37.8198656,145.0111411,0,11.587,15.0457757
ORDA08025,2018-07-19,14:35:29,Lunch,BK,"[('Fries', 7), ('Steak', 9), ('Chicken', 3), ('Cereal', 2)]",647.0,-37.8056978,144.9772408,0,6.442,11.7774232
ORDC04668,2018-04-04,11:02:32,Breakfast,NS,"[('Cereal', 4), ('Coffee', 6), ('Eggs', 9), ('Pancake', 10)]",569.5,37.8214425,144.9450779,0,9.994,15.456715
ORDB10628,2018-12-28,20:00:00,Dinner,TP,"[('Shrimp', 3), ('Fish&Chips', 1), ('Salmon', 6)]",443.0,-37.8123153,144.9695355,0,7.622,12.531576
ORDY08329,2018-08-20,15:36:20,Lunch,TP,"[('Chicken', 10), ('Steak', 6), ('Eggs', 1), ('Fries', 3), ('Burger', 4)]",767.2,-37.8014312,144.9797686,0,10.246,13.742179
ORDB03853,2018-01-20,08:30:25,Breakfast,TP,"[('Coffee', 1), ('Pancake', 5), ('Eggs', 10), ('Cereal', 9)]",537.75,-37.8065665,144.9593329,0,9.038,12.7780402
ORDJ02247,2018-05-14,12:23:39,Lunch,TP,"[('Salad', 9), ('Burger', 8), ('Chicken', 9), ('Steak', 1)]",735.8,-37.7994363,144.9591555,1,9.945,13.3654115
ORDJ07764,2018-11-01,17:58:18,Dinner,bk,"[('Pasta', 9), ('Shrimp', 7), ('Fish&Chips', 6)]",835.5,-37.8172457,144.9970901,0,10.419,14.214622
ORDB08927,2018-10-12,17:27:53,Dinner,TP,"[('Salmon', 4), ('Fish&Chips', 7), ('Shrimp', 10)]",949.0,-37.8080217,144.9598412,0,8.812,13.1682841
ORDA10220,2018-11-28,18:59:09,Dinner,BK,"[('Fish&Chips', 2), ('Shrimp', 4), ('Salmon', 8), ('Pasta', 3)]",456.0,-37.820086,144.9661085,0,7.92,14.8394922
ORDY10369,2018-07-26,14:45:38,Lunch,TP,"[('Burger', 10), ('Salad', 5), ('Chicken', 6)]",588.0,-37.8239685,144.9827317,0,8.682,12.3417737
ORDK05814,2018-06-04,13:04:13,Lunch,BK,"[('Chicken', 9), ('Burger', 3), ('Fries', 10)]",501.0,-37.8201589,144.9714911,0,7.914,14.0352204
ORDB01369,05-02-2018,09:00:50,Breakfast,TP,"[('Coffee', 5), ('Pancake', 8), ('Eggs', 7)]",385.5,-37.8159363,144.9929248,0,10.239,12.5200472
ORDK07097,2018-07-10,14:15:12,Lunch,BK,"[('Fries', 2), ('Steak', 3), ('Salad', 3), ('Chicken', 6), ('Burger', 8)]",650.6,-37.8247207,144.9827064,0,7.02,12.8908543
ORDI06370,2018-09-06,16:06:45,Dinner,NS,"[('Salmon', 4), ('Fish&Chips', 5), ('Shrimp', 7)]",717.0,-37.8167361,144.9273952,0,10.403,16.5534555
ORDC06306,2018-12-25,19:49:51,Dinner,NS,"[('Shrimp', 4), ('Fish&Chips', 5)]",391.0,-37.8220781,144.969508,0,8.844,14.8518749
ORDZ03124,2018-15-05,12:23:39,Lunch,NS,"[('Chicken', 1), ('Steak', 7), ('Fries', 5), ('Burger', 9), ('Salad', 5)]",772.0,-37.8188044,144.9623755,0,8.735,14.6175583
ORDB01224,2018-10-08,17:17:44,Dinner,TP,"[('Pasta', 10), ('Shrimp', 10), ('Fish&Chips', 5), ('Salmon', 3)]",1113.0,-37.8027089,144.9656009,0,9.58,13.5186354
ORDJ10152,2018-04-24,11:43:05,Breakfast,TP,"[('Coffee', 3), ('Pancake', 2), ('Eggs', 5)]",181.0,-37.8192399,144.9529087,0,8.562,11.9166688
ORDB00940,2018-02-18,09:31:16,Breakfast,TP,"[('Eggs', 8), ('Cereal', 9), ('Coffee', 8), ('Pancake', 7)]",594.75,-37.819959,144.968404,0,7.569,11.550887
ORDY08632,2018-10-27,17:58:18,Dinner,TP,"[('Shrimp', 2), ('Salmon', 10)]",518.0,-37.8185672,144.9991515,0,10.512,16.4270662
ORDB10500,2018-10-02,17:07:36,Dinner,TP,"[('Salmon', 1), ('Fish&Chips', 2), ('Pasta', 6)]",276.0,-37.813541,144.9850703,0,8.507,13.227385
ORDA02112,2018-06-22,13:44:47,Lunch,BK,"[('Chicken', 5), ('Salad', 9), ('Burger', 3)]",383.0,-37.8249932,144.957368,0,8.806,15.0337707
ORDJ07892,2018-06-06,13:04:13,Lunch,TP,"[('Fries', 7), ('Burger', 9)]",363.0,-37.8031951,144.9491357,0,9.97,13.5591173
ORDA01657,2018-07-14,14:25:21,Lunch,BK,"[('Salmon', 9), ('Chicken', 2), ('Burger', 2), ('Fries', 5), ('Salad', 2)]",625.4,-37.8177561,145.0078014,0,4.058,12.2126606
ORDI10607,2018-02-15,09:21:07,Breakfast,NS,"[('Coffee', 3), ('Cereal', 3)]",85.5,37.8109101,145.0041604,0,9.803,14.7810583
ORDY09622,2018-11-17,18:38:52,Dinner,TP,"[('Pasta', 10), ('Salmon', 8)]",603.0,37.8160111,145.0057554,0,11.346,16.4611111
ORDY06964,2018-09-20,16:37:10,Dinner,TP,"[('Fish&Chips', 4), ('Salmon', 3), ('Shrimp', 9), ('Pasta', 7)]",941.5,-37.8250592,144.9285688,0,16.639,19.6577036
ORDX02518,2018-10-30,17:58:18,Dinner,BK,"[('Pasta', 8), ('Shrimp', 6)]",544.0,-37.8216454,144.9944913,0,8.673,12.1073478
ORDA04922,2018-11-19,18:38:52,Dinner,BK,"[('Shrimp', 1), ('Salmon', 9)]",423.0,-37.8239621,144.9901629,0,6.237,13.4659132
ORDI01417,2018-12-20,19:39:43,Dinner,NS,"[('Pasta', 10), ('Salmon', 4), ('Fish&Chips', 8), ('Shrimp', 5)]",989.0,-37.8065393,144.9613218,0,7.479,13.2252669
ORDB08770,2018-08-23,15:46:28,Lunch,TP,"[('Salad', 3), ('Fries', 8)]",147.6,-37.8134067,144.9585336,0,8.511,11.9761618
ORDX05117,2018-12-04,19:09:17,Breakfast,BK,"[('Pasta', 4), ('Salmon', 10), ('Fish&Chips', 4)]",660.0,-37.8106812,145.0122031,0,4.114,10.5828012
ORDC01184,2018-01-06,08:10:08,Breakfast,NS,"[('Pancake', 6), ('Coffee', 4), ('Cereal', 9)]",456.0,-37.8047597,144.9537634,1,8.058,7.2853793
ORDY00513,2018-11-14,18:28:43,Dinner,TP,"[('Fish&Chips', 9), ('Salmon', 9), ('Pasta', 4), ('Shrimp', 9)]",1280.0,-37.8052437,144.9690899,0,9.41,12.8734985
ORDX04186,2018-07-04,14:05:04,Lunch,BK,"[('Fries', 5), ('Steak', 7), ('Salad', 1)]",392.2,-37.8228858,145.010151,0,4.737,10.5267128
ORDJ04273,2018-03-15,10:21:58,Breakfast,TP,"[('Coffee', 3), ('Pancake', 8), ('Eggs', 10)]",436.5,-37.8130849,144.9670666,0,8.341,10.9529058
ORDZ02425,2018-10-13,17:27:53,Dinner,NS,"[('Shrimp', 6), ('Fish&Chips', 2), ('Pasta', 3), ('Salmon', 3)]",599.5,-37.8212164,144.9558445,0,9.402,17.2647797
ORDX02026,2018-03-23,10:42:15,Breakfast,BK,"[('Burger', 2), ('Coffee', 5), ('Pancake', 1)]",103.75,-37.8199784,144.9853188,0,6.277,11.0127128
ORDZ07421,2018-11-01,17:58:18,Dinner,NS,"[('Shrimp', 8), ('Fish&Chips', 8)]",712.0,-37.8164671,144.9972205,0,8.361,16.3447671
ORDA09004,2018-09-08,16:16:54,Dinner,BK,"[('Shrimp', 9), ('Pasta', 1)]",513.5,37.8027457,144.9942956,0,5.355,14.4601507
ORDC07798,2018-12-29,20:00:00,Dinner,NS,"[('Pasta', 7), ('Fish&Chips', 10), ('Shrimp', 9), ('Salmon', 4)]",1192.5,-37.8250125,144.9706893,0,9.19,16.9193093
ORDZ05448,2018-10-09,17:17:44,Lunch,NS,"[('Shrimp', 10), ('Salmon', 6), ('Fish&Chips', 5), ('Pasta', 10)]",1236.0,-37.8158525,144.9880066,0,8.997,15.0235734
ORDC11108,2018-08-21,15:36:20,Lunch,NS,"[('Chicken', 9), ('Salad', 3), ('Steak', 4)]",519.6,-37.8152643,144.9777675,0,8.834,13.3744813
ORDB03893,2018-03-21,10:32:06,Dinner,TP,"[('Eggs', 9), ('Pancake', 10)]",440.5,-37.8149938,144.9605383,0,8.232,11.0432721
ORDA01532,2018-09-22,16:47:19,Dinner,BK,"[('Fish&Chips', 3), ('Shrimp', 7), ('Salmon', 5)]",688.0,-37.8040715,144.9865219,0,5.83,15.3230019
ORDJ04430,2018-07-12,14:25:21,Lunch,TP,"[('Burger', 3), ('Pancake', 2), ('Salad', 7)]",237.4,-37.8187805,145.0007666,0,10.659,13.9971606
ORDY09084,2018-05-15,12:23:39,Lunch,TP,"[('Chicken', 3), ('Salad', 10), ('Fries', 8), ('Steak', 5), ('Burger', 2)]",651.0,-37.8177326,144.9646246,0,7.606,10.9199411
ORDK08624,2018-01-30,08:50:42,Breakfast,BK,"[('Eggs', 6), ('Pancake', 4), ('Coffee', 3)]",251.5,-37.8231676,144.9781318,0,7.187,12.3883054
ORDK09046,2018-06-15,13:24:30,Lunch,BK,"[('Salad', 7), ('Steak', 5), ('Fries', 3), ('Cereal', 8), ('Chicken', 9)]",917.4,-37.81349,144.9656669,0,7.49,12.8374341
ORDI04314,2018-01-01,08:00:00,Breakfast,NS,"[('Cereal', 9), ('Coffee', 1)]",196.5,-37.8186923,144.9478945,1,9.558,7.7355482
ORDA10554,2018-12-05,19:09:17,Dinner,BK,"[('Fish&Chips', 8), ('Pancake', 1), ('Pasta', 6)]",499.0,-37.822615,144.9581003,0,8.591,15.9242444
ORDK10373,2018-01-27,08:50:42,Breakfast,BK,"[('Coffee', 5), ('Pancake', 4), ('Cereal', 5)]",239.5,-37.8166103,144.9547935,1,8.522,15.853296
ORDY07361,2018-01-12,08:20:16,Breakfast,TP,"[('Cereal', 6), ('Eggs', 2), ('Pancake', 5), ('Coffee', 2)]",306.25,-37.8164736,144.9842325,1,9.28,6.2863383
ORDI10284,2018-01-26,08:50:42,Breakfast,tp,"[('Eggs', 8), ('Coffee', 2), ('Cereal', 7)]",338.0,-37.8106913,144.9364149,0,10.032,14.8732599
ORDB01887,2018-04-21,11:32:57,Breakfast,TP,"[('Eggs', 8), ('Coffee', 4)]",206.0,-37.8187562,144.9535621,0,8.49,12.9199682
ORDB09064,2018-11-08,18:18:35,Dinner,TP,"[('Pasta', 7), ('Salmon', 10), ('Fish&Chips', 2)]",672.5,-37.8159152,144.964706,0,7.837,12.1801196
ORDB06649,2018-06-30,13:54:55,Lunch,TP,"[('Fries', 4), ('Steak', 8), ('Chicken', 5), ('Burger', 3), ('Salad', 2)]",695.4,-37.8048602,144.932999,0,10.968,15.6121517
ORDJ10972,2018-04-16,11:22:49,Breakfast,TP,"[('Coffee', 6), ('Cereal', 10), ('Eggs', 3), ('Pancake', 9)]",539.25,-37.8107102,144.9672351,0,8.674,11.2237665
ORDI00830,2018-06-07,13:14:21,Lunch,NS,"[('Fries', 3), ('Salad', 9)]",650.5,-37.8251158,144.9588699,0,9.814,15.4127215
ORDB01748,2018-11-10,18:18:35,Dinner,TP,"[('Fish&Chips', 4), ('Shrimp', 1), ('Salmon', 1)]",235.0,-37.7997014,144.9577434,0,9.74,15.3380031
ORDJ08214,2018-10-24,17:48:10,Dinner,TP,"[('Steak', 3), ('Salmon', 3)]",205.5,-37.8204028,144.9666114,0,7.468,11.9161554
ORDC06717,10-02-2018,09:21:07,Breakfast,NS,"[('Pancake', 3), ('Coffee', 3)]",95.25,-37.8070359,144.9660046,0,7.076,14.1416664
ORDB05781,2018-08-20,15:36:20,Lunch,TP,"[('Fries', 8), ('Burger', 10), ('Chicken', 6)]",598.0,-37.8052697,144.9538186,1,9.445,13.0598663
ORDX00914,2018-11-22,18:49:00,Dinner,BK,"[('Pasta', 3), ('Shrimp', 7), ('Salmon', 8), ('Fish&Chips', 9)]",1103.5,-37.8111424,144.9731046,0,6.764,14.027045
ORDZ07178,2018-06-16,13:24:30,Lunch,NS,"[('Steak', 4), ('Chicken', 1)]",212.0,-37.8199952,145.0142183,0,11.404,18.8659593
ORDX06294,2018-02-20,09:31:16,Breakfast,BK,"[('Coffee', 5), ('Eggs', 1)]",59.5,-37.8074681,144.9428696,0,9.157,14.5956559
ORDC05944,2018-04-02,10:52:23,Breakfast,NS,"[('Cereal', 8), ('Pancake', 4), ('Coffee', 5), ('Eggs', 5)]",412.5,-37.8131494,144.9512706,0,8.596,13.9045867
ORDC04847,07-12-2018,19:19:26,Dinner,NS,"[('Fish&Chips', 5), ('Shrimp', 7)]",553.0,-37.8104197,145.0104734,0,10.404,16.0299609
ORDZ08376,2018-09-10,16:16:54,Dinner,NS,"[('Salmon', 1), ('Pasta', 10), ('Fish&Chips', 8)]",596.0,-37.820783,144.9486473,0,9.718,15.8129537
ORDK10470,2018-10-10,17:17:44,Dinner,BK,"[('Cereal', 10), ('Shrimp', 7)]",653.0,-37.8128436,144.9520799,0,8.6,15.0351807
ORDK02198,2018-02-08,09:10:59,Breakfast,BK,"[('Cereal', 7), ('Coffee', 4)]",177.0,-37.8213321,144.9769858,0,7.239,11.6425031
ORDC05718,2018-04-01,10:52:23,Breakfast,NS,"[('Eggs', 10), ('Coffee', 8), ('Pancake', 9), ('Cereal', 5)]",603.25,-37.8189236,144.9542636,0,9.167,16.249047
ORDY10985,2018-08-13,15:26:11,Lunch,TP,"[('Burger', 9), ('Salad', 5), ('Steak', 9)]",770.0,144.9867134,-37.8106736,0,9.746,13.5523078
ORDI03814,2018-10-17,17:38:01,Dinner,NS,"[('Fish&Chips', 5), ('Pasta', 6), ('Shrimp', 7)]",718.0,-37.8218665,144.9930653,1,9.803,16.0551599
ORDC01804,2018-03-06,10:01:41,Breakfast,NS,"[('Coffee', 3), ('Eggs', 3), ('Cereal', 4)]",172.5,-37.824052,144.9848675,0,9.356,14.4354382
ORDB02652,2018-08-24,15:46:28,Lunch,TP,"[('Chicken', 8), ('Fries', 2)]",280.0,-37.8174707,144.9688721,0,8.008,11.0250785
ORDK06404,2018-05-27,12:43:56,Lunch,BK,"[('Fries', 3), ('Steak', 7), ('Burger', 4), ('Chicken', 4), ('Salad', 7)]",723.4,-37.8234385,144.9792752,0,7.126,15.6773396
ORDB01514,2018-11-02,18:08:27,Dinner,TP,"[('Salmon', 4), ('Steak', 4)]",274.0,-37.8180524,144.9692968,0,7.857,11.9461576
ORDK08337,2018-02-08,09:10:59,Breakfast,BK,"[('Cereal', 10), ('Pancake', 9), ('Coffee', 5)]",465.75,37.8178976,144.9485457,0,9.139,13.399633
ORDY06721,2018-07-22,14:45:38,Lunch,TP,"[('Fries', 8), ('Chicken', 10), ('Steak', 5), ('Salad', 8), ('Burger', 3)]",871.6,-37.8237935,144.9826824,1,8.67,13.5215477
ORDZ03017,2018-09-06,16:16:54,Dinner,NS,"[('Salmon', 2), ('Shrimp', 8)]",514.0,37.8190503,144.9768798,0,8.465,14.8684369
ORDC03285,2018-07-23,14:45:38,Lunch,NS,"[('Fries', 5), ('Salad', 9), ('Steak', 4), ('Pasta', 2)]",456.8,-37.8032403,144.9498275,0,8.361,13.5223096
ORDC07764,2018-05-08,12:13:31,Lunch,NS,"[('Salad', 8), ('Fries', 10), ('Burger', 7)]",474.6,-37.8038835,144.95744,0,7.615,13.0998505
ORDI04944,2018-04-14,11:22:49,Breakfast,NS,"[('Pancake', 5), ('Cereal', 8), ('Eggs', 1)]",311.25,-37.8194217,144.9549165,0,9.345,16.455545
ORDI07940,2018-04-03,11:02:32,Breakfast,NS,"[('Pancake', 6), ('Coffee', 10), ('Eggs', 7), ('Cereal', 8)]",542.5,-37.8101959,144.9822571,0,8.019,12.374031
ORDC08197,2018-07-13,14:25:21,Lunch,NS,"[('Steak', 6), ('Fries', 9), ('Burger', 4)]",502.0,-37.8144517,145.0076823,1,10.477,15.9122018
